iter	RMSE
0	175.5739933
1	169.7932083
2	164.3549745
3	159.3186917
4	154.9409686
5	150.6560079
6	146.7519784
7	141.8355113
8	138.3352622
9	134.9947772
10	131.0503383
11	128.5793952
12	126.5337225
13	124.4939995
14	122.5015331
15	120.5310781
16	118.9940797
17	116.0072294
18	114.7886249
19	113.3087571
20	110.8259125
21	109.663565
22	108.6568867
23	107.7744675
24	105.8702809
25	103.9226476
26	101.9552357
27	100.3751139
28	99.02975556
29	98.4364068
30	97.04359725
31	95.60607433
32	95.00234274
33	93.89118684
34	92.86184389
35	92.40240984
36	91.54483438
37	91.11689769
38	90.41115994
39	89.35803394
40	88.9303497
41	88.182762
42	87.70186795
43	86.83385311
44	86.22245406
45	85.76722113
46	85.27533336
47	84.77558678
48	84.46806606
49	84.22763507
50	83.95016085
51	83.71547499
52	83.25125634
53	83.07430295
54	82.8549139
55	82.60060351
56	82.42094742
57	82.07181388
58	81.91987017
59	81.77674396
60	81.59029117
61	81.42347595
62	81.20992551
63	81.02405661
64	80.91377434
65	80.44321596
66	80.27295561
67	80.15077574
68	79.74822674
69	79.59486574
70	79.45015562
71	79.13650858
72	79.03603757
73	78.94219289
74	78.86066108
75	78.72833858
76	78.57103555
77	78.44991089
78	78.13902862
79	77.92040641
80	77.71647256
81	77.56640449
82	77.36637529
83	77.20616913
84	76.94954729
85	76.74091335
86	76.62326416
87	76.52931717
88	76.45854367
89	76.40191485
90	76.16120355
91	76.00629526
92	75.77610712
93	75.64564467
94	75.5518208
95	75.45204723
96	75.35529224
97	75.18594305
98	75.0396411
99	74.93788836
100	74.80593535
101	74.75958046
102	74.61894811
103	74.42897399
104	74.3081146
105	74.15499287
106	74.10594782
107	73.95705027
108	73.91038668
109	73.82546912
110	73.7154685
111	73.66844828
112	73.56705475
113	73.44311073
114	73.29637433
115	73.24708834
116	73.16276304
117	73.13638195
118	73.07068321
119	73.0090429
120	72.87934448
121	72.75029156
122	72.71169247
123	72.66276887
124	72.56395025
125	72.48131586
126	72.42167866
127	72.35787144
128	72.2873175
129	72.22916909
130	72.14210471
131	72.05458407
132	71.93060903
133	71.87282007
134	71.82383375
135	71.78278064
136	71.74026139
137	71.69704445
138	71.62698897
139	71.58657787
140	71.52369996
141	71.44473129
142	71.35677114
143	71.27818743
144	71.21475736
145	71.14790941
146	71.10614655
147	71.0553028
148	71.00086044
149	70.89835209
150	70.84866175
151	70.81088476
152	70.75306637
153	70.71997829
154	70.66977835
155	70.58924946
156	70.5085937
157	70.43243582
158	70.34357401
159	70.26825715
160	70.20262363
161	70.11390055
162	70.03562991
163	70.00601085
164	69.969992
165	69.9052194
166	69.84932403
167	69.77182017
168	69.73803658
169	69.68811808
170	69.62647352
171	69.57158541
172	69.51379086
173	69.47038702
174	69.40073195
175	69.35296584
176	69.31423688
177	69.28317058
178	69.23842228
179	69.16574808
180	69.10599281
181	69.06128384
182	69.01291222
183	68.97858426
184	68.93429546
185	68.91194681
186	68.86825832
187	68.84047389
188	68.80374984
189	68.75192915
190	68.69014503
191	68.64203726
192	68.58182312
193	68.52719332
194	68.45296376
195	68.39157928
196	68.36400221
197	68.31563863
198	68.27608918
199	68.228647
200	68.18355197
201	68.16127316
202	68.10272987
203	68.0661011
204	68.01994799
205	67.98559458
206	67.94245784
207	67.91070743
208	67.87585648
209	67.83864875
210	67.7990647
211	67.76474637
212	67.72129937
213	67.6925532
214	67.65398749
215	67.59903521
216	67.54247913
217	67.52453424
218	67.48752667
219	67.45386645
220	67.41781671
221	67.39236702
222	67.36057683
223	67.3176414
224	67.28747164
225	67.23175503
226	67.20300676
227	67.16252709
228	67.11113256
229	67.08071683
230	67.03720184
231	67.00188347
232	66.96737245
233	66.92183533
234	66.87302024
235	66.84713501
236	66.82271514
237	66.79923838
238	66.749477
239	66.72832909
240	66.70010859
241	66.65014684
242	66.60104317
243	66.56247006
244	66.53721752
245	66.50998576
246	66.47494476
247	66.43290319
248	66.40011414
249	66.35756707
250	66.31519756
251	66.2939008
252	66.2400974
253	66.20849982
254	66.16751501
255	66.14214504
256	66.11150668
257	66.08547428
258	66.05718089
259	66.02647443
260	65.98578483
261	65.93642455
262	65.89221098
263	65.84784799
264	65.82962597
265	65.78900148
266	65.76449731
267	65.73094333
268	65.70565132
269	65.66749022
270	65.64387044
271	65.61167193
272	65.59077294
273	65.57915738
274	65.55101503
275	65.51492039
276	65.48583598
