iter	Passed	Remaining
0	3	3511
1	6	3255
2	9	3197
3	12	3151
4	16	3226
5	19	3180
6	22	3157
7	25	3143
8	28	3130
9	31	3148
10	34	3122
11	37	3102
12	40	3087
13	43	3073
14	47	3105
15	50	3104
16	53	3093
17	56	3076
18	59	3072
19	63	3091
20	66	3090
21	69	3093
22	72	3079
23	75	3070
24	79	3087
25	82	3078
26	85	3065
27	88	3055
28	90	3046
29	94	3052
30	97	3050
31	100	3041
32	103	3035
33	106	3027
34	110	3039
35	113	3033
36	116	3028
37	119	3022
38	122	3017
39	126	3031
40	130	3052
41	134	3067
42	137	3061
43	140	3055
44	143	3045
45	146	3038
46	150	3043
47	153	3035
48	156	3028
49	158	3020
50	162	3014
51	165	3021
52	168	3017
53	171	3012
54	174	3006
55	178	3004
56	181	3010
57	184	3003
58	187	2995
59	190	2987
60	193	2982
61	197	2985
62	200	2981
63	203	2975
64	206	2969
65	209	2966
66	213	2966
67	216	2961
68	219	2955
69	221	2949
70	225	2947
71	228	2950
72	232	2949
73	235	2945
74	238	2941
75	241	2937
76	245	2937
77	248	2931
78	251	2928
79	254	2926
80	257	2922
81	261	2924
82	264	2918
83	267	2914
84	270	2912
85	273	2909
86	277	2908
87	280	2904
88	283	2902
89	286	2897
90	289	2896
91	293	2896
92	296	2891
93	299	2891
94	303	2886
95	306	2885
96	309	2883
97	313	2882
98	316	2879
99	319	2876
100	323	2880
101	327	2881
102	330	2877
103	333	2874
104	337	2872
105	340	2874
106	344	2872
107	347	2870
108	350	2865
109	353	2863
110	357	2861
111	361	2864
112	364	2860
113	367	2854
114	370	2854
115	373	2849
116	376	2844
117	380	2840
118	383	2835
119	386	2833
120	389	2829
121	392	2824
122	395	2820
123	398	2817
124	402	2815
125	405	2811
126	408	2806
127	411	2802
128	414	2797
129	417	2796
130	420	2792
131	424	2788
132	427	2784
133	429	2778
134	433	2777
135	436	2775
136	439	2771
137	443	2767
138	446	2763
139	449	2760
140	452	2755
141	455	2751
142	458	2746
143	461	2745
144	465	2743
145	468	2739
146	471	2735
147	474	2731
148	477	2727
149	480	2724
150	483	2720
151	486	2715
152	489	2711
153	492	2707
